key,distrito_nombre,pct_LLA_sep,pct_FP_sep,votos_LLA_sep,votos_FP_sep,pct_LLA_oct,pct_FP_oct,votos_LLA_oct,votos_FP_oct,volatilidad_LLA,volatilidad_FP,volatilidad_abs,pct_sin_cobertura,edad_mediana,pct_viviendas_ocupadas
coronel dorrego,Coronel Dorrego,36.94,29.22,3141.0,2485.0,54.62,28.88,4608.0,2436.0,17.68,-0.34,17.68,32.4,38,74.87
coronel pringles,Coronel Pringles,47.23,28.59,5363.0,3246.0,55.72,26.08,6520.0,3052.0,8.49,-2.51,8.49,34.12,36,82.76
coronel rosales,Coronel de Marina Leonardo Rosales,48.47,23.64,15212.0,7418.0,61.63,20.67,20427.0,6851.0,13.16,-2.97,13.16,21.6,34,83.88
coronel suarez,Coronel Suárez,45.76,29.19,6099.0,3890.0,52.55,28.41,11289.0,6104.0,6.79,-0.78,6.79,27.5,37,85.24
chacabuco,Chacabuco,24.53,49.24,6905.0,13860.0,43.81,42.44,12895.0,12493.0,19.28,-6.8,19.28,31.66,36,83.41
chascomus,Chascomús,29.67,32.59,6147.0,6753.0,50.04,31.34,11423.0,7153.0,20.37,-1.25,20.37,30.55,34,84.25
chivilcoy,Chivilcoy,30.13,41.88,10225.0,14211.0,41.57,32.59,16518.0,12950.0,11.44,-9.29,11.44,32.86,36,87.51
daireaux,Daireaux,30.95,46.24,2708.0,4046.0,50.76,37.37,4746.0,3494.0,19.81,-8.87,19.81,23.91,35,87.71
dolores,Dolores,23.3,54.84,4195.0,9875.0,49.9,38.37,8050.0,6190.0,26.6,-16.47,26.6,22.18,34,85.17
ensenada,Ensenada,24.07,66.01,9484.0,26004.0,32.03,52.85,13256.0,21872.0,7.96,-13.16,7.96,33.11,32,90.86
escobar,Escobar,35.41,50.24,43638.0,61922.0,43.98,40.36,57592.0,52849.0,8.57,-9.88,8.57,35.69,31,90.02
esteban echeverria,Esteban Echeverría,30.07,49.54,43783.0,72128.0,36.11,27.77,58655.0,45114.0,6.04,-21.77,6.04,41.46,31,93.29
exaltacion de la cruz,Exaltación de la Cruz,35.8,43.11,7288.0,8775.0,50.31,33.3,11142.0,7374.0,14.51,-9.81,14.51,34.51,32,76.78
florencio varela,Florencio Varela,23.94,55.76,47857.0,111494.0,30.79,51.58,66530.0,111464.0,6.85,-4.18,6.85,48.35,29,96.34
general alvarado,General Alvarado,36.29,34.78,7634.0,7317.0,48.77,34.3,11710.0,8236.0,12.48,-0.48,12.48,36.63,35,57.36
general alvear,General Alvear,24.67,36.05,1073.0,1568.0,47.93,34.34,2567.0,1839.0,23.26,-1.71,23.26,23.37,34,85.47
general arenales,General Arenales,28.61,34.98,2454.0,3000.0,53.72,32.08,5242.0,3130.0,25.11,-2.9,25.11,26.3,37,85.29
general belgrano,General Belgrano,28.57,40.07,2910.0,4081.0,51.07,34.72,5575.0,3790.0,22.5,-5.35,22.5,31.5,35,81.6
general guido,General Guido,18.34,48.29,348.0,916.0,40.98,45.69,627.0,699.0,22.64,-2.6,22.64,18.5,36,77.94
general la madrid,General La Madrid,27.9,36.66,1529.0,2009.0,51.41,34.31,3030.0,2022.0,23.51,-2.35,23.51,25.85,36,86.56
general las heras,General Las Heras,28.66,36.52,2790.0,3556.0,41.04,43.97,4098.0,4390.0,12.38,7.45,12.38,28.02,32,89.55
general lavalle,General Lavalle,19.29,33.51,634.0,1101.0,51.13,34.18,1584.0,1059.0,31.84,0.67,31.84,33.8,32,86.66
general juan madariaga,General Juan Madariaga,26.74,28.95,2872.0,3109.0,51.24,31.68,5617.0,3473.0,24.5,2.73,24.5,40.38,33,89.03
general paz,General Paz,36.68,58.3,2699.0,4290.0,42.67,47.02,3569.0,3933.0,5.99,-11.28,5.99,34.5,33,77.72
general pinto,General Pinto,22.68,56.19,1586.0,3930.0,41.89,48.36,3057.0,3529.0,19.21,-7.83,19.21,32.76,34,84.64
general pueyrredon,General Pueyrredón,52.13,36.83,139292.0,98403.0,49.31,30.99,172937.0,108695.0,-2.82,-5.84,2.82,26.26,37,74.79
general rodriguez,General Rodríguez,39.78,46.06,19774.0,22895.0,40.15,44.52,23542.0,26104.0,0.37,-1.54,0.37,49.23,28,89.15
general san martin,General San Martín,37.03,52.91,81300.0,116160.0,40.88,42.45,96130.0,99804.0,3.85,-10.46,3.85,31.47,35,91.73
san miguel,San Miguel,38.27,48.23,43961.0,55402.0,43.63,38.63,71182.0,63032.0,5.36,-9.6,5.36,35.69,32,94.56
